id,3301000@政治學（一）@1@1,3301070@中華民國憲法與政府@1@1,3301081@政治學英文名著選讀（一）@1@1,3301081@政治學英文名著選讀（一）@1@2,3301100@社會學（一）@1@1,3301110@經濟學（一）@1@1,3301120@政治生活學習（一）@1@1,3301888@學系服務學習@1@1,3301030@政治學（二）@2@1,3301091@政治學英文名著選讀（二）@2@1,3301091@政治學英文名著選讀（二）@2@2,3301130@社會學（二）@2@1,3301140@經濟學（二）@2@1,3301150@政治生活學習(二)@2@1,3301888@學系服務學習@2@1,3302401@政治意識型態@2@1,3302411@國際人權與女權@2@1,3303040@中國政治思想史@2@1,3303394@德國政府與政治@2@1,3301511@政治社會學@1@1,3302000@政治學方法論（一）@1@1,3302010@比較政府與政治（一）@1@1,3302020@國際關係（一）@1@1,3302030@行政學（一）@1@1,3302370@中國外交史@1@1,3302920@社會企業發展與實作@1@1,3303394@德國政府與政治@1@1,3303510@公共政策@1@1,3301021@研究報告寫作@2@1,3302040@政治學方法論（二）@2@1,3302050@比較政府與政治（二）@2@1,3302060@國際關係（二）@2@1,3302070@行政學（二）@2@1,3302390@現代國際政治史@2@1,3303023@政策分析@2@1,3303503@危機管理@2@1,3304334@全球環境治理：重大環境議題分析@2@1,3304340@台灣政經發展@2@1
404330013,72,75,88,NaN,88,88,100,90,60,89,NaN,91,76,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330014,51,60,84,NaN,88,75,100,NaN,71,76,NaN,91,69,100,90,NaN,NaN,NaN,NaN,NaN,54,73,60,80,78,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
404330016,77,70,NaN,80,90,75,100,NaN,94,NaN,80,94,86,100,90,NaN,NaN,NaN,NaN,NaN,75,83,80,85,95,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330017,83,60,NaN,83,88,76,100,90,75,NaN,68,93,83,100,NaN,NaN,NaN,NaN,NaN,NaN,57,79,64,80,81,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330018,69,60,NaN,81,90,82,90,NaN,77,NaN,73,85,87,100,90,NaN,NaN,NaN,NaN,NaN,56,78,60,80,82,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
404330019,80,60,NaN,83,98,71,100,90,82,NaN,80,99,66,100,NaN,NaN,NaN,NaN,NaN,NaN,68,83,71,84,85,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330020,60,60,88,NaN,86,86,100,NaN,52,NaN,60,90,68,100,90,NaN,NaN,NaN,NaN,NaN,70,81,70,80,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,-1,NaN
404330021,91,85,91,NaN,98,91,100,90,99,94,NaN,99,91,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330022,66,60,84,NaN,98,81,100,NaN,65,87,NaN,91,92,100,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330023,82,88,NaN,83,75,83,100,90,95,NaN,75,75,69,-1,NaN,NaN,NaN,NaN,NaN,NaN,68,86,70,86,70,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330024,68,70,87,NaN,98,87,100,NaN,77,85,NaN,99,81,100,90,NaN,NaN,NaN,NaN,NaN,70,77,78,86,87,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,-1,NaN,NaN
404330025,68,74,89,NaN,96,86,100,90,87,84,NaN,97,73,100,NaN,NaN,NaN,NaN,NaN,NaN,66,84,66,90,88,NaN,NaN,90,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330026,60,60,78,NaN,80,65,70,NaN,79,80,NaN,74,71,100,90,NaN,NaN,NaN,NaN,NaN,57,78,68,67,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN
404330027,68,71,85,NaN,96,90,100,90,97,86,NaN,94,96,100,NaN,NaN,NaN,NaN,NaN,NaN,73,86,80,87,89,NaN,NaN,91,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330028,72,70,89,NaN,90,86,100,NaN,60,83,NaN,81,-1,100,93,NaN,NaN,NaN,NaN,NaN,36,83,2,67,77,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330030,21,17,12,NaN,61,30,0,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN
404330031,82,75,98,NaN,98,86,100,90,95,99,NaN,99,88,100,NaN,NaN,NaN,NaN,NaN,NaN,74,87,73,91,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
404330032,86,75,92,NaN,87,90,100,NaN,80,86,NaN,94,83,100,90,NaN,NaN,NaN,NaN,NaN,75,84,71,87,85,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330033,90,72,NaN,85,93,90,100,90,95,NaN,85,99,83,100,NaN,-1,NaN,NaN,NaN,NaN,64,84,83,86,NaN,NaN,93,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330034,76,74,74,NaN,94,84,100,NaN,79,81,NaN,99,68,100,90,NaN,NaN,NaN,NaN,NaN,67,83,75,81,87,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,-1,-1,NaN,NaN
404330035,63,70,89,NaN,98,80,100,90,71,81,NaN,99,79,100,NaN,NaN,NaN,NaN,NaN,NaN,74,79,76,88,85,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404330036,86,77,90,NaN,98,78,100,NaN,72,84,NaN,99,80,100,90,-1,NaN,NaN,NaN,NaN,52,82,66,87,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330037,71,60,82,NaN,95,74,100,90,57,69,NaN,97,73,100,NaN,NaN,NaN,NaN,NaN,NaN,72,80,76,88,85,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404330038,83,70,99,NaN,98,90,100,NaN,82,90,NaN,99,95,100,90,NaN,NaN,NaN,NaN,NaN,74,80,75,83,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330039,66,74,NaN,81,98,77,100,90,63,NaN,70,99,74,100,NaN,NaN,NaN,NaN,NaN,NaN,55,76,67,80,82,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330040,84,60,91,NaN,89,88,100,NaN,77,87,NaN,79,88,100,90,-1,NaN,NaN,NaN,NaN,69,78,80,91,92,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
404330041,68,60,NaN,78,59,65,100,90,82,NaN,68,NaN,69,80,NaN,-1,NaN,NaN,NaN,NaN,72,70,52,67,NaN,88,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,-1,NaN,NaN,NaN
404330042,81,82,NaN,75,88,90,100,NaN,98,NaN,75,95,92,100,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330043,84,74,NaN,83,98,91,100,90,91,NaN,78,99,94,100,NaN,NaN,NaN,NaN,NaN,NaN,69,80,78,83,NaN,NaN,NaN,93,NaN,-1,NaN,-1,-1,NaN,-1,-1,NaN,NaN
404330044,60,60,NaN,80,96,74,100,NaN,55,NaN,72,88,74,100,90,NaN,NaN,NaN,91,NaN,54,78,76,80,92,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,-1,-1
404330045,76,70,NaN,76,89,76,100,90,81,NaN,66,85,63,100,NaN,NaN,NaN,NaN,NaN,NaN,60,77,70,88,90,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330046,73,70,84,NaN,89,85,100,NaN,78,82,NaN,79,86,100,90,NaN,NaN,NaN,NaN,NaN,72,83,82,90,96,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,-1,NaN,NaN
404330047,82,60,NaN,81,89,50,100,90,45,NaN,60,78,46,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,23,60,92,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330048,64,60,73,NaN,87,78,100,NaN,65,66,NaN,73,61,90,90,NaN,NaN,NaN,NaN,NaN,NaN,77,9,70,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
404330049,92,73,NaN,73,98,72,100,90,97,89,NaN,74,80,100,NaN,-1,NaN,NaN,NaN,NaN,84,89,84,88,99,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,-1,-1
404330050,66,60,87,NaN,93,73,100,NaN,57,84,NaN,88,73,100,92,NaN,NaN,NaN,NaN,NaN,NaN,86,60,80,94,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,-1,NaN,NaN
404330051,99,90,89,NaN,98,83,100,90,85,86,NaN,98,75,100,NaN,87,NaN,61,91,74,48,85,70,81,92,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN,-1
404330006,NaN,NaN,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330029,56,37,81,NaN,85,60,100,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404330052,NaN,NaN,96,NaN,NaN,81,100,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,81,91,89,98,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
