id,3415020@社會科學方法論@1@1,3415045@策略規劃與問題解決@1@1,3415060@戰略研究@1@1,3417005@亞太經貿與台灣戰略@1@1,3417006@全球化與全球治理@1@1,3417018@人類安全專題@1@1,3417019@國際組織與國際公法@1@1,3417020@國際政治@1@1,3417021@政治學@1@1,3417022@東南亞安全研究@1@1,3418002@國際關係英文選讀@1@1,3415045@策略規劃與問題解決@2@1,3415110@安全與外交政策分析@2@1,3415120@國際政治經濟@2@1,3418008@核戰略與國際關係@2@1,3418010@國防法制與國家安全政策@2@1,3418011@中國崛起與大國外交@2@1,3418012@西洋政治思想史@2@1,3418014@國際關係史@2@1,3415035@亞洲區域主義@2@1,3415000@國際關係理論@2@1,3417014@反恐戰略與國家安全專題@2@1,3418007@兩岸關係與國際現勢@2@1,3418005@美國外交政策與戰略研究@1@1,3416000@文化與戰略@2@1,3418013@臺灣在東亞之戰略分析專題討論@2@1
699341011,85,95,85,85,86,87,NaN,78,NaN,NaN,NaN,NaN,NaN,88,NaN,86,NaN,NaN,NaN,NaN,81,NaN,90,NaN,NaN,87
699341012,86,87,NaN,NaN,85,NaN,92,90,87,NaN,93,NaN,NaN,87,NaN,89,NaN,NaN,NaN,NaN,92,NaN,90,NaN,NaN,84
699341013,92,87,NaN,88,87,87,94,88,90,88,NaN,NaN,NaN,88,NaN,NaN,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN
699341014,86,91,90,87,NaN,87,84,82,NaN,NaN,NaN,NaN,NaN,NaN,92,88,NaN,NaN,NaN,NaN,85,90,NaN,NaN,90,NaN
699341015,93,94,96,NaN,91,94,NaN,96,89,NaN,NaN,NaN,NaN,90,NaN,94,NaN,NaN,NaN,NaN,95,NaN,NaN,90,NaN,88
699341020,86,93,NaN,87,87,90,NaN,81,87,84,NaN,NaN,NaN,88,NaN,88,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,86,NaN
699341023,86,88,94,NaN,90,93,NaN,82,NaN,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,90,NaN,87,86,NaN,NaN,88,NaN
699341025,83,91,82,84,NaN,NaN,NaN,83,77,NaN,87,NaN,90,84,NaN,NaN,NaN,79,NaN,NaN,89,NaN,NaN,NaN,NaN,86
699341027,82,94,76,NaN,78,NaN,41,80,NaN,NaN,89,NaN,86,NaN,NaN,82,NaN,NaN,NaN,89,89,82,NaN,NaN,80,NaN
699341028,86,93,NaN,87,NaN,90,92,83,NaN,88,NaN,NaN,NaN,90,NaN,88,NaN,NaN,NaN,NaN,95,88,NaN,NaN,NaN,86
699341029,78,91,78,85,NaN,89,NaN,80,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,82,NaN,82,80,NaN,NaN,NaN,80
699341030,86,91,72,84,75,NaN,NaN,78,60,NaN,NaN,NaN,86,NaN,NaN,83,85,79,NaN,NaN,86,NaN,NaN,NaN,NaN,80
699341031,87,87,NaN,NaN,88,88,91,82,87,NaN,NaN,NaN,NaN,87,NaN,87,NaN,NaN,NaN,NaN,89,NaN,NaN,86,NaN,90
699341032,87,93,NaN,86,NaN,92,NaN,88,85,86,NaN,NaN,NaN,NaN,NaN,90,NaN,86,NaN,NaN,93,87,NaN,NaN,90,NaN
699341033,85,91,NaN,NaN,87,NaN,NaN,77,87,85,NaN,NaN,NaN,NaN,95,85,NaN,85,NaN,NaN,85,NaN,89,83,NaN,NaN
699341034,87,93,91,90,NaN,88,91,83,NaN,NaN,NaN,NaN,88,87,NaN,87,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,83
699341035,86,94,93,87,NaN,93,NaN,84,NaN,87,NaN,NaN,NaN,88,95,NaN,NaN,NaN,NaN,NaN,89,88,NaN,NaN,NaN,86
699341006,93,93,NaN,NaN,NaN,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,90,NaN,92,95,89,NaN,NaN,86,92,92,92,93,NaN
