id,3151002@普通心理學（二）@2@1,3152506@生理心理學（二）@2@1,3152702@性格心理學@2@1,3151001@普通心理學（一）@1@1,3151003@心理及教育統計學（一）@1@1,3151502@生理學（一）@1@1,3151910@心理學閱讀技巧@1@1,3152301@發展心理學@1@1,3152701@社會心理學@1@1,3151004@心理及教育統計學（二）@2@1,3151505@解剖與生理學@2@1,3152101@人類學習與認知@2@1,3152103@人類學習與認知實驗@2@1,3153751@組織行為學@2@1,3153965@諮商理論@2@1,3152004@心理學實驗法@1@1,3152505@生理心理學（一）@1@1,3153003@心理測驗學理論@1@1,3153121@知覺心理學@1@1,3153122@知覺心理學實驗@1@1,3153902@變態心理學@1@1,3153311@情緒心理學@2@1,3153753@消費者心理學@2@1,3153964@臨床心理學導論@2@1,3153261@語言心理學@1@1,3153965@諮商理論@1@1,3153966@諮商技術@2@1,3154903@心理學史@2@1
402125034,65,77,67,72,60,67,86,71,86,69,NaN,70,92,NaN,74,81,60,64,67,85,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125053,NaN,NaN,-1,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125009,69,84,70,77,74,NaN,NaN,90,84,82,NaN,79,-1,NaN,NaN,94,65,83,79,85,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125004,NaN,NaN,NaN,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125020,NaN,NaN,NaN,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125022,75,NaN,-1,70,NaN,NaN,NaN,63,66,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125057,100,NaN,-1,79,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125054,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125042,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
402125045,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
