id,6201021@民法總則（一）@1@1,6201031@刑法總則（一）@1@1,6201041@憲法（一）@1@1,6201888@學系服務學習@1@1,6201022@民法總則（二）@2@1,6201032@刑法總則（二）@2@1,6201042@憲法（二）@2@1,6201888@學系服務學習@2@1,6203024@海商法@2@1,6203043@警察法@2@1,6203045@教育法@2@1,6202017@民法債編總論（一）@1@1,6202023@民法物權（一）@1@1,6202025@民法親屬@1@1,6202031@刑法分則（一）@1@1,6202043@行政法總論（一）@1@1,6203020@公司法@1@1,6203061@社會法總論@1@1,6203063@勞動法總論@1@1,6204026@勞動法實例演習 (四)@1@1,6202019@民法債編總論（二）@2@1,6202024@民法物權（二）@2@1,6202026@民法繼承@2@1,6202032@刑法分則（二）@2@1,6202036@憲法訴訟@2@1,6202041@國際公法@2@1,6202044@行政法總論（二）@2@1,6203023@保險法@2@1,6203044@經濟行政法@2@1,6203046@傳播法@2@1,6203047@環境法@2@1,6203062@社會法各論@2@1,6203075@證券交易法@2@1,6203022@票據法@1@1,6203025@民法債編各論（一）@1@1,6203033@刑事訴訟法（一）@1@1,6203035@民事訴訟法（一）@1@1,6203041@地方自治法@1@1,6203048@行政程序法@1@1,6204001@訴願及行政訴訟法（一）@1@1,6204012@國際私法@1@1,6204051@法律服務（一）@1@1,6202037@立法技術與程序@2@1,6203026@民法債編各論（二）@2@1,6203034@刑事訴訟法（二）@2@1,6203036@民事訴訟法（二）@2@1,6203064@勞動法各論@2@1,6204002@訴願及行政訴訟法（二）@2@1,6204035@刑事法實例演習 (二)@2@1,6204052@法律服務（二）@2@1
403620014,87,79,63,NaN,79,73,73,80,-1,82,NaN,84,62,80,79,81,74,71,78,NaN,76,94,77,69,NaN,78,72,70,-1,NaN,NaN,-1,72,73,68,70,79,77,73,NaN,NaN,95,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620016,92,84,67,NaN,87,78,64,80,-1,-1,NaN,79,78,80,85,87,73,92,87,NaN,75,90,81,72,NaN,78,90,88,-1,NaN,83,-1,82,78,NaN,83,88,88,NaN,84,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1
403620018,80,78,68,NaN,81,70,66,80,-1,-1,NaN,83,69,69,84,77,68,72,73,NaN,77,87,77,71,NaN,70,82,-1,-1,NaN,NaN,-1,79,78,74,77,86,86,74,NaN,NaN,90,NaN,-1,-1,-1,-1,NaN,NaN,-1
403620019,84,80,76,90,80,69,64,NaN,-1,83,NaN,91,86,80,82,80,80,89,71,NaN,80,83,79,73,NaN,70,65,85,-1,NaN,NaN,-1,79,79,74,69,86,76,72,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN
403620020,73,63,60,NaN,78,70,60,80,-1,-1,NaN,77,72,81,81,78,68,88,79,NaN,68,86,85,72,NaN,80,86,90,-1,NaN,86,-1,76,79,NaN,79,87,68,NaN,69,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN
403620021,60,NaN,50,90,42,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403620022,80,76,79,NaN,74,70,80,80,-1,-1,NaN,NaN,NaN,74,NaN,81,86,87,68,NaN,NaN,NaN,72,NaN,NaN,76,89,70,60,62,85,-1,-1,NaN,71,NaN,76,81,80,NaN,NaN,NaN,-1,NaN,NaN,-1,-1,NaN,NaN,NaN
403620024,78,80,74,NaN,85,70,50,80,-1,-1,NaN,NaN,NaN,83,NaN,75,67,82,71,NaN,NaN,NaN,46,NaN,NaN,61,64,80,-1,NaN,NaN,-1,-1,84,NaN,70,75,82,72,NaN,NaN,NaN,-1,NaN,-1,-1,-1,NaN,NaN,NaN
403620025,88,82,65,90,79,72,60,NaN,-1,-1,NaN,79,87,76,84,73,65,79,70,NaN,72,78,77,75,42,73,74,-1,-1,NaN,NaN,-1,-1,78,74,78,78,76,73,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620027,87,83,NaN,90,82,76,NaN,NaN,-1,81,79,91,98,81,86,80,67,92,78,NaN,83,87,82,69,NaN,68,87,82,-1,NaN,NaN,-1,83,71,81,NaN,90,80,74,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN
403620028,71,74,69,NaN,73,70,52,80,-1,-1,NaN,75,52,70,68,66,70,70,71,NaN,70,60,70,65,NaN,65,62,-1,-1,NaN,NaN,-1,77,72,60,60,70,75,66,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620029,77,70,61,90,72,67,47,NaN,-1,-1,NaN,77,NaN,69,77,71,70,94,68,NaN,68,NaN,80,70,NaN,67,72,83,-1,NaN,NaN,80,-1,73,NaN,NaN,60,71,64,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403620030,88,83,67,NaN,85,70,70,80,-1,82,NaN,85,83,79,83,87,72,87,83,NaN,76,89,82,71,NaN,78,80,72,-1,NaN,NaN,-1,79,73,85,80,93,84,NaN,NaN,NaN,92,NaN,-1,-1,-1,-1,NaN,NaN,-1
403620031,86,75,77,90,76,72,70,NaN,-1,80,NaN,84,87,81,83,87,73,72,84,NaN,80,75,80,77,NaN,70,75,70,73,NaN,NaN,-1,76,67,83,NaN,89,80,NaN,83,NaN,91,NaN,-1,NaN,-1,-1,-1,NaN,-1
403620032,92,89,74,NaN,92,87,80,80,-1,-1,NaN,92,100,78,89,92,82,77,76,NaN,93,93,85,77,NaN,87,90,96,-1,NaN,83,-1,93,85,92,89,94,82,82,81,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN
403620034,88,75,71,NaN,84,74,70,80,-1,NaN,NaN,82,81,78,81,87,76,85,81,NaN,75,92,83,73,71,76,79,92,-1,NaN,NaN,-1,80,82,82,81,79,80,78,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620035,96,87,80,90,89,80,70,NaN,-1,-1,NaN,86,97,77,89,85,68,90,63,NaN,68,69,75,76,NaN,65,79,72,-1,NaN,NaN,-1,-1,76,77,76,79,65,72,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620038,76,79,60,NaN,76,60,74,80,-1,-1,NaN,78,60,77,73,82,69,79,88,NaN,71,70,79,65,NaN,71,79,78,60,NaN,NaN,-1,75,76,74,NaN,81,81,78,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403620039,84,82,73,90,89,74,72,NaN,-1,80,NaN,89,83,79,84,82,88,93,64,NaN,85,82,87,75,NaN,79,88,88,-1,NaN,NaN,-1,91,78,77,NaN,90,81,81,NaN,NaN,94,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
403620040,62,77,63,NaN,68,70,51,80,63,70,NaN,76,45,64,66,71,73,71,69,80,61,68,66,68,NaN,64,78,75,-1,NaN,NaN,-1,68,73,72,NaN,72,64,67,NaN,NaN,NaN,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403620041,78,73,70,90,83,78,63,NaN,80,81,NaN,81,73,78,71,76,69,94,82,NaN,71,65,80,76,NaN,72,71,88,-1,60,NaN,-1,72,73,NaN,NaN,73,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403620002,NaN,79,69,NaN,NaN,70,60,80,-1,-1,NaN,76,90,84,78,71,65,72,74,NaN,70,76,77,66,NaN,76,65,87,-1,50,NaN,-1,71,75,NaN,70,76,64,65,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN
403620007,NaN,82,64,90,NaN,70,60,NaN,-1,-1,NaN,71,NaN,79,64,70,77,80,80,NaN,85,NaN,79,73,80,78,73,92,-1,NaN,NaN,-1,-1,72,NaN,NaN,85,73,78,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
403620015,NaN,78,75,90,NaN,70,63,NaN,-1,85,NaN,NaN,NaN,68,NaN,87,86,89,81,NaN,NaN,NaN,85,NaN,NaN,71,92,72,NaN,NaN,NaN,-1,-1,78,NaN,NaN,NaN,72,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403620036,NaN,79,74,NaN,NaN,67,71,80,-1,-1,NaN,72,NaN,79,65,81,80,73,80,NaN,75,NaN,81,66,NaN,74,68,75,-1,NaN,NaN,-1,-1,75,NaN,83,88,84,73,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1
403620037,NaN,70,61,90,NaN,71,61,NaN,-1,-1,NaN,78,73,76,78,78,84,91,80,NaN,65,84,83,76,67,73,88,-1,-1,NaN,NaN,-1,-1,76,79,80,81,79,72,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620042,NaN,55,66,NaN,NaN,60,40,80,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,80,71,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,82,64,73,82,61,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN
403620044,83,NaN,87,90,72,NaN,81,NaN,-1,-1,NaN,NaN,88,88,NaN,80,74,86,62,NaN,NaN,78,87,NaN,NaN,79,73,79,-1,NaN,NaN,-1,77,73,80,NaN,81,83,79,NaN,NaN,90,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403620045,82,NaN,68,90,70,NaN,80,NaN,-1,-1,NaN,NaN,37,80,NaN,74,74,87,79,NaN,NaN,86,80,NaN,NaN,80,68,-1,-1,NaN,NaN,-1,-1,73,81,NaN,85,75,70,NaN,NaN,90,NaN,-1,NaN,-1,-1,NaN,NaN,NaN
403620047,83,NaN,79,90,75,NaN,75,NaN,-1,-1,NaN,NaN,67,NaN,NaN,NaN,75,72,75,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,-1,-1,72,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
403620046,NaN,NaN,96,NaN,91,NaN,98,80,-1,-1,NaN,NaN,NaN,86,NaN,91,80,94,86,NaN,NaN,NaN,77,NaN,NaN,NaN,87,-1,-1,NaN,NaN,81,-1,81,NaN,NaN,93,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
