id,4305079@正交分頻多重進接技術@2@1,4305106@適應性陣列信號處理@2@1,4305110@格網結構@2@1,4305132@專題演講（二）@2@1,4305165@合作式通訊@2@1,4305167@多天線多重輸入輸出技術@2@1,4305180@聯網嵌入式系統@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305070@無線區域網路@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305153@錯誤更正碼專論@1@1,4305156@頻譜分析與方位估計@1@1,4305164@下世代行動通訊系統(一)@1@1,4305168@網路最佳化專論@1@1,4305174@網路路由與傳輸控制專論@1@1,4305179@嵌入式作業系統@1@1,4305019@錯誤更正碼@2@1,4305087@消息理論@2@1,4305104@排隊理論@2@1,4305129@高等電腦網路@2@1,4305130@通訊系統模擬@2@1,4305133@網路互連@2@1,4305136@網路模擬技術與應用@2@1,4305144@網路安全專論@2@1,4305166@多天線信號處理專論@2@1,4305172@合作式通訊專論@2@1,4305177@JAVA在網路的應用@2@1,4305182@下世代行動通訊系統(二)@2@1,4305146@通訊訊號處理專論@1@1,4305169@分散式訊源編碼@1@1,4305175@微處理機系統與介面技術@1@1,4305099@高存活網路與安全確保@2@1,4305157@前瞻網路技術專論@2@1,4305183@最佳化導論@2@1
604430042,NaN,NaN,NaN,80,NaN,70,NaN,73,70,86,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,79,37,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN
604430050,-1,88,NaN,85,NaN,30,NaN,70,49,79,NaN,NaN,62,NaN,NaN,NaN,75,NaN,NaN,39,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
604430053,NaN,-1,NaN,86,NaN,52,NaN,70,70,81,NaN,NaN,87,NaN,NaN,NaN,87,NaN,NaN,19,NaN,NaN,NaN,NaN,98,NaN,NaN,NaN,93,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430055,NaN,-1,NaN,86,NaN,37,NaN,92,75,82,NaN,NaN,63,NaN,NaN,NaN,90,NaN,NaN,24,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,87,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430060,NaN,NaN,NaN,82,NaN,NaN,NaN,72,70,85,NaN,83,NaN,82,86,NaN,NaN,NaN,NaN,55,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,81,70,NaN,NaN,NaN,NaN,NaN,NaN
604430062,79,NaN,NaN,85,NaN,55,NaN,72,70,82,NaN,NaN,75,NaN,NaN,NaN,63,NaN,70,55,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1
604430064,77,NaN,NaN,83,NaN,80,NaN,71,70,82,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,78,38,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430067,70,NaN,NaN,85,NaN,NaN,NaN,80,70,85,NaN,NaN,71,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,76,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN
604430068,76,NaN,NaN,85,NaN,NaN,NaN,90,70,85,NaN,NaN,97,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,85,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN
604430070,NaN,NaN,NaN,82,NaN,77,NaN,72,70,84,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,81,70,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN
604430072,70,NaN,NaN,85,NaN,NaN,NaN,83,49,85,NaN,NaN,64,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,85,92,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN
604430073,NaN,NaN,NaN,80,NaN,80,NaN,73,74,84,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,78,70,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN
604430074,-1,NaN,NaN,83,NaN,NaN,NaN,75,48,85,NaN,NaN,78,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,84,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN
604430077,66,NaN,NaN,80,NaN,70,NaN,81,70,84,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,75,40,NaN,NaN,NaN,NaN,96,NaN,NaN,70,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430079,70,91,NaN,82,NaN,33,NaN,77,72,85,NaN,NaN,76,NaN,NaN,NaN,86,NaN,NaN,57,NaN,NaN,NaN,NaN,64,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
604430080,81,NaN,NaN,85,NaN,NaN,NaN,84,49,85,NaN,NaN,90,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,85,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN
604430082,67,86,NaN,82,NaN,-1,NaN,89,70,83,NaN,NaN,65,NaN,NaN,NaN,81,NaN,66,40,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
604430083,80,90,NaN,82,NaN,39,NaN,81,70,83,NaN,NaN,93,NaN,NaN,NaN,84,NaN,NaN,70,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
604430085,-1,NaN,NaN,85,NaN,NaN,NaN,76,70,81,NaN,NaN,99,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,71,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430088,72,90,NaN,83,NaN,38,NaN,75,70,85,NaN,NaN,80,NaN,NaN,NaN,86,NaN,NaN,51,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN
604430020,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,26,85,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,60,60,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430041,98,NaN,NaN,83,NaN,-1,NaN,86,70,85,NaN,NaN,94,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430051,96,NaN,NaN,83,NaN,34,NaN,84,70,85,NaN,NaN,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430059,-1,NaN,NaN,85,NaN,47,NaN,77,70,85,NaN,NaN,82,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430075,92,NaN,NaN,83,NaN,92,NaN,96,71,85,NaN,NaN,99,NaN,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430009,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,84,90,NaN,NaN,NaN,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,90,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN
604430013,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,85,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,91,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430015,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,85,86,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,92,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430016,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,76,84,81,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430019,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,81,83,86,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430021,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,85,91,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,NaN,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430035,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,84,75,NaN,NaN,70,NaN,81,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,89,91,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430043,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,82,76,NaN,NaN,70,NaN,81,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,88,90,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430045,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,84,84,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,90,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430046,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,84,83,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,93,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430048,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,78,73,78,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430061,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,80,80,92,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430066,-1,NaN,NaN,75,NaN,39,NaN,NaN,76,81,NaN,NaN,NaN,70,NaN,0,70,NaN,NaN,33,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
604430069,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,84,88,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430081,-1,NaN,NaN,80,NaN,35,NaN,NaN,48,83,83,NaN,NaN,73,NaN,70,70,NaN,NaN,40,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430087,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,85,87,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430017,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
604430029,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,85,83,NaN,NaN,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN
