id,4305132@專題演講（二）@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305113@電腦網路結構@1@1,4305122@個人及行動通訊@1@1,4305146@通訊訊號處理專論@1@1,4305156@頻譜分析與方位估計@1@1,4305168@網路最佳化專論@1@1,4305175@微處理機系統與介面技術@1@1,4305179@嵌入式作業系統@1@1,4305019@錯誤更正碼@2@1,4305070@無線區域網路@2@1,4305079@正交分頻多重進接技術@2@1,4305099@高存活網路與安全確保@2@1,4305106@適應性陣列信號處理@2@1,4305127@資料網路規劃與設計@2@1,4305129@高等電腦網路@2@1,4305133@網路互連@2@1,4305135@光通訊網路@2@1,4305157@前瞻網路技術專論@2@1,4305160@智慧型天線專論@2@1,4305167@多天線多重輸入輸出技術@2@1,4305174@網路路由與傳輸控制專論@2@1,4305180@聯網嵌入式系統@2@1,4305183@最佳化導論@2@1
605430036,-1,95,73,87,NaN,NaN,NaN,NaN,91,NaN,78,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430039,-1,98,77,85,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605430041,-1,81,70,85,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605430044,-1,71,34,85,NaN,NaN,50,NaN,23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430051,-1,80,70,85,NaN,NaN,NaN,NaN,60,NaN,90,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605430052,-1,62,NaN,85,78,70,NaN,56,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430054,-1,87,73,79,NaN,NaN,NaN,NaN,76,NaN,85,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430056,-1,88,80,85,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN
605430058,-1,86,75,77,NaN,NaN,NaN,NaN,78,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430061,-1,85,70,78,NaN,NaN,NaN,NaN,58,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430062,-1,84,70,85,NaN,NaN,NaN,NaN,70,NaN,79,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605430063,-1,81,70,78,NaN,NaN,NaN,NaN,58,NaN,71,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605430064,-1,77,70,86,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN
605430066,-1,86,52,78,NaN,NaN,NaN,NaN,73,NaN,66,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430067,-1,74,70,85,NaN,NaN,NaN,NaN,48,90,77,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430071,-1,76,47,78,NaN,NaN,NaN,NaN,62,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605430074,-1,86,70,86,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1
605430075,-1,72,15,78,NaN,NaN,NaN,NaN,37,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430078,-1,86,75,85,NaN,NaN,NaN,NaN,58,91,70,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430079,-1,73,73,85,NaN,NaN,80,NaN,70,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430080,-1,86,70,87,NaN,NaN,NaN,NaN,70,91,70,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430081,-1,74,45,85,NaN,NaN,NaN,NaN,31,90,64,NaN,NaN,NaN,-1,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN
605430082,-1,49,49,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430035,-1,NaN,83,78,NaN,NaN,NaN,82,70,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN
605430076,-1,NaN,70,85,77,NaN,NaN,74,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
605430001,-1,NaN,NaN,85,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430004,-1,NaN,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430005,-1,NaN,NaN,85,NaN,90,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430006,-1,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430007,-1,NaN,NaN,85,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430010,-1,NaN,NaN,86,NaN,NaN,NaN,90,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430019,-1,NaN,NaN,78,NaN,79,NaN,79,NaN,NaN,NaN,NaN,85,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430021,NaN,NaN,NaN,85,NaN,NaN,NaN,83,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430023,-1,NaN,NaN,86,85,80,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430025,-1,NaN,NaN,85,NaN,NaN,NaN,85,NaN,NaN,NaN,95,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605430027,-1,NaN,NaN,72,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430031,-1,NaN,NaN,85,89,87,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN
605430033,-1,NaN,NaN,85,88,86,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430034,-1,NaN,NaN,84,NaN,NaN,NaN,77,NaN,NaN,NaN,70,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605430040,-1,NaN,NaN,85,NaN,NaN,NaN,77,NaN,NaN,NaN,NaN,NaN,86,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN
605430046,-1,NaN,NaN,79,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,86,80,NaN,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN
605430047,-1,NaN,NaN,85,81,70,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,NaN,NaN,NaN,-1,NaN,NaN
605430050,-1,NaN,NaN,85,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430065,-1,NaN,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,82,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN
605430073,-1,NaN,NaN,85,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
605430020,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
