id,6055078@民法專題研究（八）－以比較法與親屬為中心@1@1,6055100@社會法專題研究（三）@1@1,6055101@社會法專題研究（一）@1@1,6055103@憲法專題研究－基本人權（一）@1@1,6055105@憲法專題研究－政府組織（一）@1@1,6055134@刑法基礎理論專題研究（三）@1@1,6055145@刑事證據法專題研究（一）@1@1,6055183@勞動法專題研究（三）@1@1,6055211@行政法專題研究－行政救濟法（一）@1@1,6055247@憲法基礎理論專題研究（一）@1@1,6055317@民法專題研究（財產法）（一）@1@1,6055325@民事程序法專題研究（民事訴訟法）（一）@1@1,6055343@法學德文（一）@1@1,6055345@法學日文（一）@1@1,6055351@法學英文（一）@1@1,6055374@國際私法專題研究@1@1,6055380@民事特別法專題研究（一）－信託法@1@1,6055385@民事特別法專題研究（三）－涉外民事法律關係（二）@1@1,6055389@民事特別法專題研究（七）－比較公司治理@1@1,6055437@憲法理論與實務專題研究（一）@1@1,6055447@涉外民事訴訟之理論與實務（一）@1@1,6055456@法律與文學專題研究（一）@1@1,6055473@日本法律專題研究：由新聞看日本法律與社會（二）@1@1,6055503@刑事法學專題研究（一）－新興領域之刑法規制@1@1,6055008@德文法學名著選讀（二）@2@1,6055050@民法專題研究（六）@2@1,6055104@憲法專題研究－基本人權（二）@2@1,6055106@憲法專題研究－政府組織（二）@2@1,6055128@刑法基礎理論專題研究（二）@2@1,6055130@刑法競合論專題研究（二）@2@1,6055148@刑事證據法專題研究（二）@2@1,6055156@刑事訴訟法專題研究（二）@2@1,6055184@勞動法專題研究（四）@2@1,6055212@行政法專題研究－行政救濟法（二）@2@1,6055248@憲法基礎理論專題研究（二）@2@1,6055311@法學英文（二）@2@1,6055326@民事程序法專題研究（民事訴訟法）（二）@2@1,6055339@國際私法案例專題研究@2@1,6055344@法學德文（二）@2@1,6055346@法學日文（二）@2@1,6055386@民事特別法專題研究（四）－土地法@2@1,6055394@民事特別法專題研究（十三）－涉外身分爭訟之理論與實務@2@1,6055411@行政法基礎理論與行政組織法專題研究（二）@2@1,6055438@憲法理論與實務專題研究（二）@2@1,6055454@法律與文學專題研究（二）@2@1,6055501@刑事法學專題研究（二）@2@1,6055520@應用法律與法實證專題研究（一）@2@1,6055530@民法專題研究（財產法）（八）@2@1,6055007@德文法學名著選讀（一）@1@1,6055020@法律的經濟分析@1@1,6055089@商事法專題研究（五）－ 美國證券交易法@1@1,6055102@社會法專題研究（二）@1@1,6055109@行政法專題研究－行政作用法（一）@1@1,6055127@刑法基礎理論專題研究（一）@1@1,6055129@刑法競合論專題研究（一）@1@1,6055155@刑事訴訟法專題研究（一）@1@1,6055175@勞動法專題研究（一）@1@1,6055217@憲法訴訟專題研究（一）@1@1,6055310@法學英文（三）@1@1,6055383@民事特別法專題研究（三）－涉外民事法律關係@1@1,6055392@民事特別法專題研究（十）－涉外民事訴訟之理論與實務（一）@1@1,6055402@民法專題研究（財產法）（三）@1@1,6055403@行政法基礎理論與行政組織法專題研究（一）@1@1,6055504@刑事法學專題研究（三）@1@1,6055531@民法專題研究（財產法）（七）@1@1,6055700@民法專題研究（身分法）（三）：家庭法律社會學@1@1,6055800@民法專題研究（身分法）（十）－性別與法律（一）@1@1,6055100@社會法專題研究（三）@2@1,6055140@刑法基礎理論專題研究（四）@2@1,6055176@勞動法專題研究（二）@2@1,6055196@勞動法專論選讀與論文寫作（一）@2@1,6055213@行政法專題研究－行政作用法（二）@2@1,6055242@憲法訴訟專題研究（二）@2@1,6055380@民事特別法專題研究（一）－信託法@2@1,6055701@民法專題研究：身分法（四）：新移民婚姻家庭與公民權@2@1,6055801@民法專題研究（身分法）（十一）：新移民人權、性別與法律@2@1,6055197@勞動法專論選讀與論文寫作（二）@1@1,6055320@民法專題研究（財產法）（四）@1@1,6055386@民事特別法專題研究（四）－土地法@1@1,6055207@國際公法基礎理論之研究（一）@2@1,6055317@民法專題研究（財產法）（一）@2@1,6055013@日文法學名著選讀（一）@1@1,6055127@刑法基礎理論專題研究（一）@2@1,6055357@日文法學名著選讀（二）@2@1,6055506@刑事法學專題研究@2@1,6055319@民法專題研究（財產法）（三）@2@1,6055375@國際私法專題研究－涉外身分爭訟之理論與實務@2@1
695605044,NaN,91,92,NaN,NaN,NaN,NaN,94,92,NaN,NaN,92,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,88,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,93,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605003,NaN,NaN,92,NaN,NaN,NaN,NaN,90,94,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,93,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,92,NaN,92,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,89,92,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605008,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,92,NaN,100,90,87,NaN,NaN,93,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,94,NaN,NaN,NaN,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,NaN,NaN,90,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605048,NaN,NaN,92,NaN,NaN,NaN,86,91,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,92,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605005,NaN,NaN,NaN,90,88,NaN,NaN,NaN,90,89,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,87,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,91,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605015,NaN,NaN,NaN,89,86,NaN,NaN,NaN,NaN,91,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605017,NaN,NaN,NaN,88,85,NaN,NaN,NaN,91,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,87,NaN,89,NaN,NaN,NaN,NaN,84,NaN,83,NaN,88,88,NaN,NaN,NaN,NaN,87,87,NaN,NaN,88,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605042,NaN,NaN,NaN,88,87,NaN,NaN,NaN,91,NaN,98,NaN,83,NaN,NaN,NaN,100,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,92,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,88,84,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605053,NaN,NaN,NaN,88,86,NaN,NaN,NaN,90,85,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,94,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,85,NaN,95,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605054,NaN,NaN,NaN,85,85,NaN,NaN,NaN,94,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,94,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,88,90,NaN,NaN,88,NaN,89,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605055,NaN,NaN,NaN,90,86,NaN,NaN,NaN,93,86,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,94,NaN,87,NaN,87,NaN,NaN,NaN,87,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605024,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,93,87,NaN,NaN,85,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,86,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,85,88,93,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605052,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,91,86,NaN,NaN,88,NaN,NaN,NaN,100,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,93,NaN,89,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605020,NaN,NaN,NaN,NaN,NaN,85,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605021,NaN,NaN,NaN,NaN,NaN,85,88,NaN,NaN,87,NaN,88,NaN,NaN,91,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,87,86,88,NaN,89,NaN,93,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605028,NaN,NaN,NaN,NaN,NaN,85,87,NaN,94,NaN,NaN,NaN,NaN,NaN,91,NaN,97,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,86,87,85,88,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605032,NaN,NaN,NaN,NaN,NaN,85,86,NaN,94,NaN,NaN,NaN,NaN,NaN,92,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,86,88,88,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,87,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605035,NaN,NaN,NaN,NaN,NaN,84,83,NaN,91,NaN,NaN,85,NaN,NaN,91,NaN,100,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,86,87,83,88,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,87,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605039,NaN,NaN,NaN,NaN,NaN,85,86,NaN,94,NaN,NaN,NaN,NaN,NaN,92,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,87,86,88,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,87,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,85,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
695605001,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,91,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
