id,3201001@勞工關係@1@1,3201002@社會學@1@1,3201003@經濟學@1@1,3201015@企業概論@1@1,3201888@學系服務學習@1@1,3202031@就業安全理論與實務@1@1,3202043@勞工互助與合作@1@1,3203053@國際人力資源管理@1@1,3201007@民法概論@2@1,3201008@政治學@2@1,3201023@人力資源管理@2@1,3201024@個體經濟學@2@1,3201027@勞工關係實用英語@2@1,3201888@學系服務學習@2@1,3202026@勞工運動理論@2@1,3203047@績效考核與管理@2@1,3203058@高齡社會導論@2@1
405320020,85,90,88,NaN,NaN,NaN,86,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,-1
405320021,87,89,86,NaN,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320022,86,94,100,88,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
405320023,75,90,75,78,85,NaN,NaN,NaN,-1,-1,-1,-1,-1,NaN,NaN,NaN,NaN
405320024,75,83,81,80,NaN,NaN,86,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320025,60,60,54,55,85,NaN,NaN,NaN,-1,-1,-1,NaN,-1,NaN,NaN,-1,NaN
405320028,70,81,73,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320030,75,64,61,73,NaN,NaN,NaN,83,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320032,80,89,100,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320033,75,72,75,76,85,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405320034,72,75,74,76,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320035,80,85,77,NaN,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320036,90,89,76,93,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320037,81,78,98,85,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320038,72,83,90,77,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320039,73,80,63,82,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,-1,NaN,NaN
405320040,68,88,79,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,-1,-1,NaN,NaN,NaN
405320041,80,82,77,NaN,85,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405320042,88,92,82,81,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320043,77,88,81,NaN,85,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405320044,67,84,77,82,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320045,80,72,72,77,85,86,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320046,85,85,82,NaN,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,-1,NaN,NaN,NaN
405320047,92,91,92,82,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320048,80,90,74,87,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320049,85,83,87,88,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320050,84,86,91,85,NaN,NaN,NaN,NaN,-1,-1,-1,-1,NaN,NaN,NaN,NaN,NaN
405320051,60,75,77,NaN,85,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
405320052,80,82,81,80,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,NaN
405320053,80,89,89,85,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320054,86,88,86,88,NaN,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,-1,NaN,NaN,-1
405320055,85,92,84,86,85,NaN,NaN,NaN,-1,-1,-1,NaN,NaN,NaN,NaN,NaN,NaN
405320056,88,90,100,98,NaN,NaN,91,NaN,-1,-1,-1,NaN,NaN,-1,-1,NaN,NaN
