id,3351006@基礎寫作@1@1,3351006@基礎寫作@1@2,3351007@美學與藝術概論@1@1,3351013@戲劇概論@1@1,3351015@文選@1@1,3351019@傳播外文@1@1,3351022@社會學與傳播@1@1,3351023@基礎影像製作@1@1,3351023@基礎影像製作@1@2,3351024@傳播概論@1@1,3351888@學系服務學習@1@1,3351005@傳播史@2@1,3351014@電影概論@2@1,3351025@創意短片製作@2@1,3351026@新聞採訪寫作@2@1,3351027@基礎資訊製作@2@1,3351027@基礎資訊製作@2@2,3351028@心理學與傳播@2@1,3351029@基礎聲音製作@2@1,3351888@學系服務學習@2@1,3352007@研究方法@1@1,3352016@基礎公共演說@1@1,3352022@流行音樂與社會@1@1,3352023@廣告概論@1@1,3352028@廣告心理與行銷@1@1,3352033@傳播倫理@1@1,3352035@政治學與傳播@1@1,3352036@影音新聞製作@1@1,3352037@進階聲音製作@1@1,3352038@進階影像製作@1@1,3353022@華人電影專題研究@1@1,3352008@數位整合媒體實務@2@1,3352024@傳播理論@2@1,3352025@當代社會問題分析@2@1,3352030@劇情片製作@2@1,3352031@廣告創意與製作@2@1,3352032@國際傳播@2@1,3352039@經濟學與傳播@2@1,3353010@創意策略與企劃@2@1,3353015@媒體思辨@2@1,3353021@紀錄片與專題製作@2@1,3353023@調查報導@2@1,3353002@校內實習（一）@1@1,3353017@傳播法規@1@1,3353024@數位媒體製作實務(一)@1@1,3352021@傳播典範人物@2@1,3353007@校內實習（二）@2@1,3353018@音樂、影像與展演@2@1,3353025@數位媒體製作實務(二)@2@1
403335027,86,NaN,84,90,NaN,NaN,NaN,84,NaN,84,86,72,76,NaN,78,78,NaN,70,78,NaN,81,85,NaN,NaN,86,82,NaN,NaN,NaN,86,NaN,NaN,77,NaN,83,NaN,77,80,-1,85,-1,NaN,NaN,NaN,NaN,NaN,-1,NaN,-1
403335028,87,NaN,NaN,NaN,87,91,87,84,NaN,89,NaN,82,83,NaN,82,72,NaN,80,88,87,77,NaN,86,86,NaN,90,NaN,85,NaN,85,85,89,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,94,91,NaN,-1,NaN,-1
403335029,86,NaN,NaN,90,97,90,87,83,NaN,90,85,80,76,79,85,91,NaN,88,86,NaN,84,87,NaN,NaN,91,92,92,84,NaN,85,NaN,NaN,86,90,NaN,NaN,NaN,NaN,-1,86,NaN,NaN,97,92,97,NaN,-1,NaN,-1
403335031,85,NaN,NaN,90,88,NaN,84,80,NaN,90,85,77,NaN,86,80,82,NaN,88,87,NaN,80,82,84,88,NaN,83,NaN,81,91,NaN,NaN,NaN,87,NaN,NaN,NaN,78,NaN,-1,NaN,80,87,89,90,89,NaN,-1,NaN,-1
403335033,87,NaN,83,NaN,84,NaN,77,66,NaN,85,84,75,75,80,NaN,NaN,79,76,74,NaN,76,NaN,NaN,77,87,85,NaN,NaN,NaN,NaN,84,85,79,84,NaN,71,80,NaN,NaN,NaN,NaN,NaN,93,90,93,-1,-1,NaN,-1
403335035,87,NaN,86,NaN,87,NaN,83,82,NaN,88,85,74,81,81,NaN,93,NaN,94,88,NaN,83,NaN,84,NaN,97,82,NaN,83,NaN,85,84,89,94,88,NaN,86,NaN,86,NaN,NaN,-1,NaN,87,91,87,-1,-1,-1,-1
403335037,87,NaN,NaN,NaN,97,NaN,74,63,NaN,84,84,81,78,77,77,85,NaN,79,83,NaN,88,87,NaN,78,NaN,82,NaN,84,88,NaN,NaN,85,88,NaN,NaN,88,84,86,-1,NaN,NaN,NaN,87,91,87,NaN,-1,NaN,-1
403335039,86,NaN,NaN,NaN,97,NaN,NaN,81,NaN,83,85,79,73,79,74,92,NaN,91,85,NaN,85,88,77,80,NaN,81,NaN,84,NaN,81,85,85,84,NaN,NaN,86,85,91,-1,NaN,NaN,NaN,90,91,90,NaN,-1,-1,-1
403335041,81,NaN,NaN,NaN,94,79,72,65,NaN,76,84,69,68,75,-1,55,-1,71,74,NaN,78,NaN,60,90,90,83,NaN,NaN,NaN,NaN,80,86,82,73,NaN,72,78,NaN,NaN,NaN,NaN,NaN,85,86,85,-1,-1,NaN,-1
403335043,87,NaN,84,89,95,NaN,NaN,80,NaN,83,86,78,80,NaN,78,NaN,85,83,89,NaN,86,NaN,NaN,79,NaN,82,83,82,90,84,NaN,86,90,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,94,87,94,-1,-1,NaN,-1
403335045,87,NaN,88,NaN,NaN,84,82,82,NaN,86,85,80,82,91,NaN,NaN,89,98,85,NaN,87,NaN,81,NaN,94,87,NaN,86,88,86,85,89,93,78,90,NaN,NaN,-1,NaN,NaN,NaN,NaN,96,93,96,-1,-1,NaN,-1
403335047,85,NaN,84,NaN,79,NaN,74,64,NaN,80,84,74,69,76,NaN,69,NaN,77,74,NaN,71,NaN,76,77,NaN,82,NaN,NaN,NaN,NaN,NaN,86,90,80,NaN,51,75,NaN,NaN,NaN,NaN,NaN,80,82,80,-1,-1,-1,-1
403335049,85,NaN,85,87,86,88,NaN,85,NaN,90,85,77,81,80,NaN,76,NaN,100,84,NaN,84,NaN,86,86,NaN,86,81,82,NaN,NaN,84,90,85,90,NaN,81,NaN,87,NaN,NaN,-1,NaN,88,91,88,-1,-1,-1,-1
403335002,NaN,88,NaN,88,87,NaN,80,NaN,83,92,NaN,73,77,NaN,78,66,NaN,86,86,80,75,NaN,51,81,NaN,87,84,85,86,78,82,84,84,85,NaN,NaN,NaN,91,-1,NaN,NaN,NaN,87,91,87,NaN,-1,NaN,-1
403335004,NaN,88,85,88,85,NaN,76,NaN,84,86,NaN,77,81,81,NaN,NaN,89,85,87,85,88,NaN,85,NaN,90,83,NaN,84,NaN,NaN,NaN,89,90,90,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,88,-1,-1,NaN,-1
403335006,NaN,87,NaN,NaN,86,NaN,79,NaN,82,88,NaN,75,75,82,NaN,86,NaN,85,85,85,76,NaN,81,79,85,85,NaN,84,NaN,NaN,NaN,87,86,86,NaN,84,NaN,85,NaN,NaN,NaN,NaN,91,NaN,91,-1,-1,NaN,-1
403335008,NaN,88,NaN,90,NaN,90,88,NaN,85,90,NaN,89,83,NaN,83,NaN,92,NaN,82,84,85,NaN,NaN,92,NaN,92,89,NaN,NaN,88,86,87,93,NaN,85,NaN,88,NaN,-1,NaN,-1,NaN,93,95,93,NaN,-1,NaN,-1
403335010,NaN,87,NaN,89,86,NaN,80,NaN,81,90,NaN,80,NaN,83,82,81,NaN,94,86,83,82,NaN,NaN,88,NaN,86,NaN,84,86,80,85,87,90,92,NaN,NaN,NaN,86,NaN,NaN,-1,NaN,88,90,88,-1,-1,NaN,-1
403335012,NaN,84,NaN,NaN,95,78,NaN,NaN,83,78,NaN,72,NaN,NaN,70,69,NaN,92,84,82,83,NaN,NaN,83,91,83,NaN,80,NaN,NaN,86,NaN,79,90,NaN,85,82,-1,-1,NaN,NaN,NaN,92,89,92,NaN,-1,NaN,-1
403335014,NaN,89,NaN,NaN,NaN,86,NaN,NaN,84,83,NaN,80,85,89,81,NaN,84,96,90,88,87,NaN,80,NaN,95,82,82,84,88,86,86,89,90,86,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,94,-1,-1,NaN,-1
403335016,NaN,88,NaN,88,90,NaN,77,NaN,84,83,NaN,70,78,81,-1,79,NaN,77,83,83,78,NaN,78,86,86,88,NaN,NaN,85,NaN,83,85,90,NaN,NaN,54,NaN,76,NaN,NaN,NaN,NaN,90,91,90,-1,-1,NaN,-1
403335018,NaN,87,NaN,NaN,87,NaN,NaN,NaN,81,82,NaN,77,80,85,NaN,NaN,82,76,89,83,86,NaN,82,85,92,80,76,83,90,NaN,NaN,88,91,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,93,89,93,-1,-1,-1,-1
403335020,NaN,88,82,89,NaN,NaN,NaN,NaN,84,85,NaN,82,80,80,NaN,77,NaN,83,83,83,82,NaN,NaN,82,90,80,89,NaN,NaN,86,87,NaN,-1,NaN,NaN,NaN,NaN,-1,-1,NaN,-1,NaN,93,94,93,NaN,-1,NaN,-1
403335022,NaN,84,NaN,88,82,NaN,81,NaN,83,85,NaN,74,74,81,NaN,93,NaN,75,76,80,73,NaN,63,NaN,75,83,NaN,82,NaN,78,85,85,85,80,86,83,76,NaN,NaN,NaN,NaN,NaN,91,79,91,-1,-1,NaN,-1
403335024,NaN,87,83,88,87,NaN,85,NaN,85,87,NaN,81,73,80,83,NaN,85,92,83,83,82,NaN,79,NaN,94,88,NaN,NaN,NaN,85,82,92,81,88,NaN,NaN,79,NaN,NaN,NaN,NaN,NaN,99,89,99,-1,-1,NaN,-1
403335026,NaN,85,85,NaN,NaN,85,85,NaN,85,85,NaN,78,NaN,80,78,93,NaN,90,84,85,85,NaN,84,NaN,92,83,NaN,82,NaN,85,87,89,79,NaN,88,NaN,82,NaN,NaN,NaN,NaN,NaN,90,86,90,-1,-1,NaN,-1
403335030,NaN,88,83,NaN,NaN,93,88,NaN,85,82,NaN,77,83,89,85,NaN,85,95,87,88,85,NaN,80,NaN,98,88,NaN,84,NaN,86,70,NaN,88,80,84,NaN,NaN,81,NaN,NaN,NaN,NaN,89,90,89,-1,-1,NaN,-1
403335032,NaN,87,NaN,89,87,NaN,84,NaN,84,83,NaN,79,NaN,NaN,NaN,NaN,86,92,82,84,NaN,NaN,NaN,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
403335036,NaN,87,NaN,89,87,NaN,86,NaN,85,85,NaN,84,NaN,-1,78,NaN,95,95,87,83,85,NaN,NaN,NaN,NaN,86,NaN,83,88,80,80,85,89,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN,NaN,94,90,94,-1,-1,NaN,-1
403335038,NaN,84,NaN,NaN,97,78,NaN,NaN,83,83,NaN,77,78,NaN,72,55,83,91,85,84,80,NaN,85,NaN,92,84,NaN,84,NaN,NaN,84,NaN,82,83,NaN,80,86,84,-1,NaN,NaN,NaN,90,90,90,NaN,-1,NaN,-1
403335040,NaN,86,NaN,NaN,NaN,82,81,NaN,83,82,NaN,74,72,81,NaN,NaN,80,79,74,81,86,NaN,70,66,NaN,81,NaN,83,NaN,81,84,86,80,NaN,86,77,82,NaN,NaN,NaN,NaN,NaN,86,87,86,-1,-1,NaN,-1
403335042,NaN,85,NaN,NaN,NaN,85,NaN,NaN,84,88,NaN,84,78,84,76,88,NaN,87,86,83,84,NaN,71,84,NaN,86,79,67,NaN,69,NaN,NaN,85,75,85,NaN,76,88,NaN,NaN,NaN,NaN,89,88,89,-1,-1,NaN,-1
403335044,NaN,88,NaN,88,88,NaN,77,NaN,84,85,NaN,80,NaN,80,77,89,NaN,75,89,84,86,89,86,NaN,98,86,NaN,85,90,NaN,NaN,89,96,90,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,94,93,94,-1,-1,NaN,-1
403335046,NaN,87,NaN,NaN,95,NaN,NaN,NaN,80,83,NaN,77,NaN,NaN,-1,NaN,81,73,87,81,81,NaN,NaN,80,NaN,82,83,83,89,84,NaN,86,87,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,92,92,92,-1,-1,NaN,-1
403335048,NaN,89,NaN,NaN,88,91,80,NaN,81,91,NaN,85,NaN,NaN,80,NaN,91,88,84,84,83,NaN,83,86,91,83,NaN,84,NaN,85,84,90,96,87,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,88,NaN,88,NaN,-1,-1,-1
403335050,NaN,87,84,NaN,NaN,85,NaN,NaN,83,87,NaN,73,73,81,NaN,73,NaN,79,72,80,76,NaN,69,NaN,90,88,79,NaN,NaN,81,83,86,92,91,NaN,79,NaN,NaN,NaN,NaN,NaN,NaN,86,91,86,-1,-1,NaN,-1
