id,4100003@計算機概論@1@1,4101012@資訊概論@1@1,4101031@程式設計（一）@1@1,4101031@程式設計（一）@1@2,4101033@程式設計實習（一）@1@1,4101033@程式設計實習（一）@1@2,4101033@程式設計實習（一）@1@3,4101033@程式設計實習（一）@1@4,4101155@線性代數@1@1,4101155@線性代數@1@2,4101888@學系服務學習@1@1,4101888@學系服務學習@1@2,4101032@程式設計（二）@2@1,4101032@程式設計（二）@2@2,4101034@程式設計實習（二）@2@1,4101034@程式設計實習（二）@2@2,4101034@程式設計實習（二）@2@3,4101034@程式設計實習（二）@2@4,4101888@學系服務學習@2@1,4101888@學系服務學習@2@2,4102085@離散數學@2@1
405410043,NaN,90,NaN,100,NaN,NaN,100,NaN,89,NaN,88,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1
405410044,NaN,54,NaN,43,NaN,NaN,43,NaN,NaN,23,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405410045,NaN,70,99,NaN,99,NaN,NaN,NaN,82,NaN,NaN,87,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410046,NaN,84,NaN,85,NaN,NaN,85,NaN,NaN,64,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1
405410047,NaN,82,89,NaN,89,NaN,NaN,NaN,65,NaN,NaN,82,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410048,NaN,78,NaN,97,NaN,NaN,97,NaN,NaN,71,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1
405410049,NaN,89,99,NaN,99,NaN,NaN,NaN,98,NaN,88,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410050,NaN,97,NaN,100,NaN,NaN,100,NaN,NaN,67,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1
405410051,NaN,73,90,NaN,90,NaN,NaN,NaN,62,NaN,NaN,76,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410052,NaN,97,NaN,93,NaN,NaN,NaN,93,NaN,72,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1
405410056,NaN,82,83,NaN,83,NaN,NaN,NaN,95,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
405410058,NaN,51,41,NaN,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN
405410060,NaN,37,25,NaN,NaN,25,NaN,NaN,40,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1
405410061,NaN,86,60,NaN,NaN,60,NaN,NaN,75,NaN,NaN,65,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410062,NaN,67,72,NaN,72,NaN,NaN,NaN,NaN,34,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,NaN,-1
405410063,NaN,86,96,NaN,NaN,96,NaN,NaN,NaN,74,NaN,60,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410064,NaN,55,NaN,61,NaN,NaN,61,NaN,47,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1
405410065,NaN,73,71,NaN,NaN,71,NaN,NaN,70,NaN,75,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410067,NaN,80,NaN,96,NaN,NaN,96,NaN,89,NaN,NaN,82,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1
405410068,NaN,71,NaN,100,NaN,NaN,NaN,100,NaN,67,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405410069,NaN,72,71,NaN,71,NaN,NaN,NaN,84,NaN,66,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410070,NaN,50,NaN,88,NaN,NaN,88,NaN,NaN,44,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
405410072,NaN,63,NaN,67,NaN,NaN,67,NaN,58,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1,-1
405410073,NaN,81,87,NaN,87,NaN,NaN,NaN,75,NaN,NaN,79,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410074,NaN,86,NaN,70,NaN,NaN,NaN,70,NaN,61,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405410075,NaN,87,75,NaN,NaN,75,NaN,NaN,NaN,67,NaN,73,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410076,NaN,73,NaN,90,NaN,NaN,NaN,90,NaN,47,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
405410077,NaN,69,77,NaN,77,NaN,NaN,NaN,70,NaN,71,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410078,NaN,95,NaN,84,NaN,NaN,84,NaN,NaN,81,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1
405410079,NaN,83,99,NaN,NaN,99,NaN,NaN,80,NaN,NaN,86,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410080,NaN,76,NaN,54,NaN,NaN,NaN,54,69,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,NaN,-1,-1
405410081,NaN,74,NaN,97,NaN,NaN,NaN,97,75,NaN,NaN,78,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405410082,NaN,84,NaN,58,NaN,NaN,NaN,58,NaN,75,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405410083,NaN,86,NaN,90,NaN,NaN,NaN,90,NaN,67,NaN,79,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,-1
405410084,NaN,76,63,NaN,NaN,63,NaN,NaN,45,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410085,NaN,60,78,NaN,78,NaN,NaN,NaN,NaN,67,65,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410086,NaN,93,NaN,98,NaN,NaN,98,NaN,NaN,85,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
405410087,NaN,66,92,NaN,NaN,92,NaN,NaN,83,NaN,79,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410088,NaN,85,NaN,92,NaN,NaN,92,NaN,68,NaN,NaN,NaN,NaN,-1,NaN,-1,NaN,NaN,-1,NaN,-1
405410089,NaN,74,77,NaN,NaN,77,NaN,NaN,61,NaN,NaN,75,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410090,NaN,82,NaN,NaN,NaN,NaN,16,NaN,NaN,80,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
405410091,NaN,69,67,NaN,67,NaN,NaN,NaN,92,NaN,81,NaN,-1,NaN,-1,NaN,NaN,NaN,NaN,NaN,-1
405410093,NaN,60,60,NaN,NaN,60,NaN,NaN,58,NaN,69,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410094,NaN,85,NaN,82,NaN,NaN,82,NaN,NaN,50,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,-1,NaN,-1
405410095,NaN,80,NaN,60,NaN,NaN,NaN,60,58,NaN,88,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,NaN,-1
405410096,NaN,70,83,NaN,83,NaN,NaN,NaN,NaN,60,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,NaN,-1
405410097,NaN,80,89,NaN,NaN,89,NaN,NaN,NaN,75,NaN,79,-1,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1
405410100,NaN,30,20,NaN,20,NaN,NaN,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,-1
405410102,NaN,68,NaN,92,NaN,NaN,NaN,92,91,NaN,NaN,NaN,NaN,-1,NaN,NaN,NaN,-1,NaN,-1,-1
